Country Code,Region,corr_Y_C,corr_Y_I,corr_Y_TB,corr_C_I,corr_C_TB,corr_I_TB
NER,Sub-Saharan Africa,0.6586289816352053,0.5475132756156782,-0.14301331899430125,0.12156104843270366,-0.2600418534390581,-0.17387191835101667
PER,Latin America & Caribbean,0.6672872085651196,0.677806211414051,0.10479834630371132,0.21227758638403424,-0.17712217365261487,-0.005988732325277719
PHL,East Asia & Pacific,0.7074366422476638,0.769222832226855,-0.29464722949319283,0.38697154186546046,-0.422391307441494,-0.27158590242726305
RWA,Sub-Saharan Africa,0.6150522105382776,0.7623415571820045,0.3491489641153344,0.3329210987368302,-0.07632335076806872,0.38405660288512666
SDN,Sub-Saharan Africa,0.47280283492270453,0.2617753286228699,-0.08875858288214564,-0.09304672531895143,-0.33840667839124267,0.08507806887652156
SEN,Sub-Saharan Africa,0.6847891375778553,0.26988396217447597,-0.09637350717011325,0.12015705790471708,-0.23669931568712035,0.07243318855034149
SGP,East Asia & Pacific,0.5932955869948608,0.5410494980859683,-0.3630643038109763,0.23778162074073242,-0.2312938164948739,-0.3852407446857767
SYC,Sub-Saharan Africa,0.3471393383381803,0.2884417239939866,-0.12197352422970108,-0.011963291566354737,0.02780455106419406,-0.20845610656773697
TCD,Sub-Saharan Africa,0.38333949884024554,0.07724407606949146,-0.028182006780613923,0.12271702322954653,-0.30022069340722674,-0.37506325128431767
TGO,Sub-Saharan Africa,0.166074633602234,0.5544134168968942,0.08159204806782944,-0.3929304374582232,-0.2592847479025439,-0.11234275767560843
THA,East Asia & Pacific,0.7045631985652273,0.8103784504933795,-0.4527901996717242,0.6692502804721321,-0.4038624705973029,-0.40147791630674645
TZA,Sub-Saharan Africa,0.08984907074390365,0.23194227749608,0.6040490791926689,0.6703248869883024,0.053590252235593404,0.25368276014088076
UGA,Sub-Saharan Africa,0.4509128824563543,0.21669939045407657,-0.5581705045750605,-0.1423698867156161,-0.34838331606474804,-0.29475662330608526
VEN,Latin America & Caribbean,0.4323276759925102,0.7773389156561966,0.10181985573245737,0.40185527324010945,-0.4297212413257446,-0.17964808680260455
ZAF,Sub-Saharan Africa,0.6522190409122557,0.7227518643527633,-0.255081594373733,0.5010065379811054,-0.41874992384547277,-0.25728377420082726
ZWE,Sub-Saharan Africa,0.525128657202107,0.36173138026114504,-0.17286441529826652,-0.2378513406314224,-0.13879761974392077,-0.14620969236288908
