Country Code,Region,corr_Y_C,corr_Y_I,corr_Y_TB,corr_C_I,corr_C_TB,corr_I_TB
SGP,East Asia & Pacific,0.483350190953098,0.47543051548026277,-0.2854686299200668,-0.1944125660131156,0.024785569932586484,-0.8303515292087761
SYC,Sub-Saharan Africa,0.5504283866701484,0.41159630911852335,-0.29559751196154516,0.2824267925475313,-0.5855313103072188,-0.5687249429369713
TCD,Sub-Saharan Africa,0.3328425801389145,0.03802260164233113,0.39783442909886685,0.24517851485066333,-0.4630587134348604,-0.5791484166944622
TGO,Sub-Saharan Africa,0.569889579993571,0.5568620982205778,-0.14692710304001416,-0.01968904902861366,-0.22513730227869586,-0.5127563213837584
THA,East Asia & Pacific,0.6863195584930114,0.7591133783243159,-0.3486296250064394,0.6330505024440742,-0.5825651231666975,-0.7699377181611728
TZA,Sub-Saharan Africa,0.13689811086105474,0.7200694310974831,-0.5579239055138088,0.3327488436559452,0.027976313667643922,-0.6126745565757996
UGA,Sub-Saharan Africa,0.6886643628233737,0.642073073511015,0.01880641397504107,0.49011639867720214,-0.48039758030714985,-0.33037137265407773
VEN,Latin America & Caribbean,0.6806672484767339,0.8174131032026517,-0.5103756641313955,0.38840899576292354,-0.7631042708533454,-0.5676759801382529
ZAF,Sub-Saharan Africa,0.9495717778103112,0.9650169368078654,-0.41305965907633785,0.9152421939449149,-0.5630864739168647,-0.45091498787911893
ZWE,Sub-Saharan Africa,0.6661284135393994,0.723941096917945,0.5921062292693242,0.2798648624361063,0.036526653382377455,0.2423671849667978
